peek_index,side,lag_ms,r,n_overlap
4,L,125.0,-0.1684972853239537,43
4,L,132.8125,-0.06696787503466053,42
4,L,140.625,0.03245596534637104,41
4,L,148.4375,0.14971410106776503,40
4,L,156.25,0.26373324816331223,39
4,L,164.0625,0.36954714044655446,38
4,L,171.875,0.48219292348003934,37
4,L,179.6875,0.5921606557259989,36
4,L,187.5,0.6801447075602264,35
4,L,195.3125,0.7672043589435841,34
4,L,203.125,0.837151388232861,33
4,L,210.9375,0.890211581252623,32
4,L,218.75,0.9275489764616388,31
4,L,226.5625,0.9394969292939342,30
4,L,234.375,0.9379476542629216,29
4,L,242.1875,0.9384951653998286,28
4,L,250.0,0.9050106308373951,27
5,R,-250.0,-0.9163888342861366,27
5,R,-242.1875,-0.9126947131706129,28
5,R,-234.375,-0.8972259309465208,29
5,R,-226.5625,-0.8827909515329243,30
5,R,-218.75,-0.8641839617904006,31
5,R,-210.9375,-0.8520549782620352,32
5,R,-203.125,-0.8296445550628447,33
5,R,-195.3125,-0.7964890043660181,34
5,R,-187.5,-0.7574607760751828,35
5,R,-179.6875,-0.7308026884181733,36
5,R,-171.875,-0.7109786567747434,37
5,R,-164.0625,-0.6651078366995815,38
5,R,-156.25,-0.6367228019724693,39
5,R,-148.4375,-0.5951313129430811,40
5,R,-140.625,-0.5649447402198234,41
5,R,-132.8125,-0.5121680186719458,42
5,R,-125.0,-0.4582508075950293,43
5,R,-117.1875,-0.3919851861680768,44
5,R,-109.375,-0.31383855110025854,45
5,R,-101.5625,-0.16177542412211962,46
5,R,-93.75,-0.04437085126041659,47
5,R,-85.9375,0.14679232638188938,48
5,R,-78.125,0.2850564143331755,49
5,R,-70.3125,0.3948874845403829,50
5,R,-62.5,0.492081668669467,51
5,R,-54.6875,0.5525804894391786,52
5,R,-46.875,0.6065235420404357,53
5,R,-39.0625,0.6530691879696204,54
5,R,-31.25,0.6846780023361961,55
5,R,-23.4375,0.7121253789539038,56
5,R,-15.625,0.7328508448886242,57
5,R,-7.8125,0.7442042867365171,58
5,R,0.0,0.7523381712501248,59
5,R,7.8125,0.7442505296881964,58
5,R,15.625,0.7255909843021837,57
5,R,23.4375,0.6957282710867118,56
5,R,31.25,0.6528772062104103,55
5,R,39.0625,0.5991744246977818,54
5,R,46.875,0.5339827333041229,53
5,R,54.6875,0.4564876167840609,52
5,R,62.5,0.36727191939745846,51
5,R,70.3125,0.27213223672253145,50
5,R,78.125,0.2000293873511571,49
5,R,85.9375,0.12907995387362717,48
5,R,93.75,0.04323923684982023,47
5,R,101.5625,-0.043992293843119666,46
5,R,109.375,-0.1297322830490155,45
5,R,117.1875,-0.21282827084462952,44
5,R,125.0,-0.28591387230380494,43
5,R,132.8125,-0.36336806059732324,42
5,R,140.625,-0.43369580216632597,41
5,R,148.4375,-0.5097193404691686,40
5,R,156.25,-0.5505743810931264,39
5,R,164.0625,-0.6060696232078823,38
5,R,171.875,-0.6503003526527763,37
5,R,179.6875,-0.6995907442177945,36
5,R,187.5,-0.7276364820492615,35
5,R,195.3125,-0.7696110519804193,34
